Date,Open,High,Low,Close
1-January-2018,10983.51,10993.35,10887.11,10902.6
2-January-2018,10932.14,10950.3,10856.95,10891.2
3-January-2018,10927.1,10961.44,10884.3,10893.89
4-January-2018,10930.53,10967.02,10893.76,10958.75
5-January-2018,10978.28,11031.15,10977.14,11021.69
8-January-2018,11043.29,11099.22,11043.29,11089.03
9-January-2018,11110.87,11128.93,11075.67,11105.85
10-January-2018,11132.13,11142.34,11066.76,11099.28
11-January-2018,11110.38,11136.4,11087.12,11118.83
12-January-2018,11141.25,11162.38,11063.11,11146.29
15-January-2018,11176.57,11257.71,11176.5,11211.49
16-January-2018,11227.52,11243.74,11163.39,11175.27
17-January-2018,11175.34,11277.37,11139.29,11265.1
18-January-2018,11340.73,11372.73,11252.66,11287.45
19-January-2018,11312.71,11382.72,11271.92,11370.96
22-January-2018,11399.55,11460.01,11365.93,11451.42
23-January-2018,11477.89,11575.23,11476.78,11565.5
24-January-2018,11574.48,11601.73,11534.3,11570.11
25-January-2018,11583.81,11594.59,11479.58,11539.81
29-January-2018,11557.24,11657.2,11554.22,11604.76
30-January-2018,11603.11,11608.78,11517.09,11528.6
31-January-2018,11509.49,11538.79,11460.97,11506.88
1-February-2018,11533.76,11594.85,11350.46,11492.93
2-February-2018,11433.48,11438.44,11203.17,11223.13
5-February-2018,11116.2,11163.93,11048.93,11131.25
6-February-2018,10818.93,11044.54,10725.58,10948.3
7-February-2018,11065.22,11097.38,10895.48,10918.68
8-February-2018,10954.24,11090.78,10927.9,11026.92
9-February-2018,10895.4,10933.58,10847.23,10910.74
12-February-2018,10968.86,11008.4,10939.17,10992.24
14-February-2018,11038.41,11048.56,10914.96,10955.5
15-February-2018,10975.31,11078.19,10968.31,11003.66
16-February-2018,11043.34,11075.14,10889.72,10904.87
19-February-2018,10918.77,10937.49,10752.39,10824.48
20-February-2018,10861.31,10888.22,10801.5,10814.84
21-February-2018,10850.86,10880.61,10810.22,10856.65
22-February-2018,10844.21,10856.47,10805.01,10839.48
23-February-2018,10848.71,10954.76,10848.1,10947.46
26-February-2018,10977.6,11058.75,10977.59,11048.06
27-February-2018,11083.37,11104.69,11007.74,11017.7
